f127.0.0.1:2222,127.0.0.1:1111	0	1	4294967295	4294967295	0
f127.0.0.1:2222,127.0.0.1:1111	1	0
f127.0.0.1:1111,127.0.0.1:2222	2	1	0	0	1
f127.0.0.1:1111,127.0.0.1:2222	3	0
f127.0.0.1:2222,127.0.0.1:1111	3	1	1	4294967295	2
f127.0.0.1:2222,127.0.0.1:1111	5	0
f127.0.0.1:1111,127.0.0.1:2222	6	1	1	0	3
f127.0.0.1:1111,127.0.0.1:2222	11	0
f127.0.0.1:2222,127.0.0.1:1111	11	1	4294967295	1	4
f127.0.0.1:2222,127.0.0.1:1111	12	0
f127.0.0.1:1111,127.0.0.1:2222	13	1	2	0	3
f127.0.0.1:1111,127.0.0.1:2222	13	2	3	0	3
f127.0.0.1:1111,127.0.0.1:2222	18	1
f127.0.0.1:2222,127.0.0.1:1111	19	2	4294967295	2	4
f127.0.0.1:2222,127.0.0.1:1111	20	1
f127.0.0.1:1111,127.0.0.1:2222	20	2	4	0	3
f127.0.0.1:1111,127.0.0.1:2222	20	3	5	0	3
f127.0.0.1:1111,127.0.0.1:2222	20	2
f127.0.0.1:1111,127.0.0.1:2222	20	-1	5	0
f127.0.0.1:1111,127.0.0.1:2222	22	1
f127.0.0.1:2222,127.0.0.1:1111	22	2	4294967295	3	4
f127.0.0.1:2222,127.0.0.1:1111	24	1
f127.0.0.1:1111,127.0.0.1:2222	24	2	6	0	3
f127.0.0.1:1111,127.0.0.1:2222	25	3	7	0	3
f127.0.0.1:1111,127.0.0.1:2222	29	2
f127.0.0.1:2222,127.0.0.1:1111	30	3	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	30	2
f127.0.0.1:2222,127.0.0.1:1111	30	-1	4294967295	4
f127.0.0.1:1111,127.0.0.1:2222	34	1
f127.0.0.1:2222,127.0.0.1:1111	35	2	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	35	1
f127.0.0.1:2222,127.0.0.1:1111	35	2	4294967295	4	4
f127.0.0.1:1111,127.0.0.1:2222	36	3	8	0	3
f127.0.0.1:2222,127.0.0.1:1111	36	2
f127.0.0.1:1111,127.0.0.1:2222	36	3	9	0	3
f127.0.0.1:1111,127.0.0.1:2222	37	2
f127.0.0.1:2222,127.0.0.1:1111	37	3	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	38	4	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	38	3
f127.0.0.1:2222,127.0.0.1:1111	38	2
f127.0.0.1:1111,127.0.0.1:2222	45	1
f127.0.0.1:2222,127.0.0.1:1111	45	2	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	46	1
f127.0.0.1:2222,127.0.0.1:1111	46	2	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	47	1
f127.0.0.1:1111,127.0.0.1:2222	49	0
f127.0.0.1:2222,127.0.0.1:1111	50	1	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	50	2	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	50	1
f127.0.0.1:2222,127.0.0.1:1111	51	0
f127.0.0.1:2222,127.0.0.1:1111	451	1	4294967295	4	4
f127.0.0.1:2222,127.0.0.1:1111	452	0
